;0
0;7.2872949256
1;7.2872949256
2;7.59252193819
3;8.62266310568
4;8.62266310568
5;8.62266310568
6;10.702022129
7;10.702022129
8;10.702022129
9;10.702022129
10;11.8275467379
11;11.8275467379
12;12.5524608928
13;12.5524608928
14;12.5524608928
15;13.5826020603
16;13.5826020603
17;13.5826020603
18;13.5826020603
19;13.5826020603
20;13.5826020603
21;13.5826020603
22;13.5826020603
23;13.69706219
24;13.69706219
25;13.69706219
26;13.69706219
27;13.69706219
28;13.69706219
29;14.5555131629
30;14.5555131629
31;14.5555131629
32;14.5555131629
33;14.5555131629
34;14.9752003052
35;14.9752003052
36;15.2995040061
37;15.2995040061
38;15.2995040061
39;15.2995040061
40;15.2995040061
41;15.2995040061
42;15.2995040061
43;15.2995040061
44;15.2995040061
45;15.2995040061
46;15.2995040061
47;15.2995040061
48;15.2995040061
49;15.2995040061
50;15.2995040061
51;15.2995040061
52;15.2995040061
53;15.2995040061
54;15.2995040061
55;15.2995040061
56;15.2995040061
57;15.2995040061
58;15.2995040061
59;15.2995040061
60;15.2995040061
61;15.2995040061
62;15.2995040061
63;15.7191911484
64;15.7191911484
65;15.7191911484
66;15.7191911484
67;15.7191911484
68;15.7191911484
69;15.7191911484
70;15.7191911484
71;15.7191911484
72;15.7191911484
73;15.7191911484
74;15.7191911484
75;15.7191911484
76;15.7191911484
77;15.7191911484
78;15.7191911484
79;16.2533384205
80;16.2533384205
81;16.2533384205
82;16.2533384205
83;18.084700496
84;18.084700496
85;18.084700496
86;18.084700496
87;18.084700496
88;18.084700496
89;18.084700496
90;18.084700496
91;18.084700496
92;18.084700496
93;18.084700496
94;18.084700496
95;18.084700496
96;18.084700496
97;18.084700496
98;18.084700496
99;18.084700496
