;0;1;2;3;4;5;6;7;8;9;average
0;94.47004608294931;97.23502304147465;96.7741935483871;98.15668202764977;96.7741935483871;95.85253456221199;96.31336405529954;94.47004608294931;96.7741935483871;93.54838709677419;96.036866359447
1;94.47004608294931;97.23502304147465;96.7741935483871;98.15668202764977;96.7741935483871;95.85253456221199;96.31336405529954;94.47004608294931;96.7741935483871;93.54838709677419;96.036866359447
2;96.31336405529954;97.23502304147465;99.07834101382488;99.07834101382488;98.15668202764977;95.85253456221199;99.07834101382488;99.53917050691244;96.7741935483871;99.07834101382488;98.0184331797235
3;100.0;100.0;99.07834101382488;99.07834101382488;98.15668202764977;96.31336405529954;99.07834101382488;99.53917050691244;98.61751152073732;99.07834101382488;98.89400921658986
4;100.0;100.0;99.07834101382488;99.07834101382488;98.15668202764977;97.6958525345622;99.07834101382488;99.53917050691244;98.61751152073732;99.07834101382488;99.03225806451613
5;100.0;100.0;99.07834101382488;99.07834101382488;99.53917050691244;97.6958525345622;99.07834101382488;99.53917050691244;98.61751152073732;99.07834101382488;99.1705069124424
6;100.0;100.0;99.07834101382488;99.07834101382488;99.53917050691244;97.6958525345622;99.07834101382488;99.53917050691244;98.61751152073732;99.07834101382488;99.1705069124424
7;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;97.6958525345622;99.07834101382488;99.53917050691244;98.61751152073732;99.07834101382488;99.21658986175115
8;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;97.6958525345622;99.07834101382488;99.53917050691244;98.61751152073732;99.07834101382488;99.21658986175115
9;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;97.6958525345622;99.07834101382488;99.53917050691244;98.61751152073732;99.07834101382488;99.21658986175115
10;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;98.61751152073732;99.07834101382488;99.53917050691244;98.61751152073732;99.07834101382488;99.30875576036865
11;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.07834101382488;99.07834101382488;99.53917050691244;98.61751152073732;99.07834101382488;99.35483870967742
12;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.07834101382488;99.07834101382488;99.53917050691244;100.0;99.53917050691244;99.53917050691244
13;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.07834101382488;99.07834101382488;99.53917050691244;100.0;100.0;99.5852534562212
14;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.07834101382488;99.07834101382488;99.53917050691244;100.0;100.0;99.5852534562212
15;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.07834101382488;99.07834101382488;99.53917050691244;100.0;100.0;99.5852534562212
16;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.07834101382488;99.07834101382488;99.53917050691244;100.0;100.0;99.5852534562212
17;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.07834101382488;99.07834101382488;99.53917050691244;100.0;100.0;99.5852534562212
18;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.07834101382488;99.07834101382488;99.53917050691244;100.0;100.0;99.5852534562212
19;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.07834101382488;99.07834101382488;100.0;100.0;100.0;99.63133640552994
20;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.53917050691244;99.07834101382488;100.0;100.0;100.0;99.6774193548387
21;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.53917050691244;99.07834101382488;100.0;100.0;100.0;99.6774193548387
22;100.0;100.0;99.53917050691244;99.07834101382488;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.72350230414747
23;100.0;100.0;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.76958525345623
24;100.0;100.0;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.76958525345623
25;100.0;100.0;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.76958525345623
26;100.0;100.0;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.76958525345623
27;100.0;100.0;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.76958525345623
28;100.0;100.0;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.76958525345623
29;100.0;100.0;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.76958525345623
30;100.0;100.0;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.76958525345623
31;100.0;100.0;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.76958525345623
32;100.0;100.0;99.53917050691244;100.0;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.81566820276498
33;100.0;100.0;99.53917050691244;100.0;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.81566820276498
34;100.0;100.0;99.53917050691244;100.0;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.81566820276498
35;100.0;100.0;99.53917050691244;100.0;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.81566820276498
36;100.0;100.0;99.53917050691244;100.0;99.53917050691244;99.53917050691244;99.53917050691244;100.0;100.0;100.0;99.81566820276498
